-0.573224 0 0 0 0 0
2.09707 1 0 0 0 0
-0.615277 0 1 0 0 0
6.88502 0 0 1 0 0
0.649668 0 0 0 1 0
0 0 0 0 0 1
8.43966 2 0 0 0 0
-19.0736 1 1 0 0 0
5.8056 0 2 0 0 0
14.7458 1 0 1 0 0
-18.7831 0 1 1 0 0
5.57758 0 0 2 0 0
4.48958 1 0 0 1 0
-3.08872 0 1 0 1 0
-9.57264 0 0 1 1 0
0.130938 0 0 0 2 0
0 1 0 0 0 1
0 0 1 0 0 1
0 0 0 1 0 1
0 0 0 0 1 1
0 0 0 0 0 2
-13.6992 3 0 0 0 0
18.2281 2 1 0 0 0
-2.31044 1 2 0 0 0
-2.07539 0 3 0 0 0
-11.3132 2 0 1 0 0
18.9015 1 1 1 0 0
-6.0066 0 2 1 0 0
6.36309 1 0 2 0 0
-8.5855 0 1 2 0 0
-0.491968 0 0 3 0 0
5.7337 2 0 0 1 0
-7.05493 1 1 0 1 0
3.24188 0 2 0 1 0
-11.5025 1 0 1 1 0
14.0587 0 1 1 1 0
-1.95041 0 0 2 1 0
-0.450014 1 0 0 2 0
-0.827632 0 1 0 2 0
2.81316 0 0 1 2 0
-0.0521752 0 0 0 3 0
0 2 0 0 0 1
0 1 1 0 0 1
0 0 2 0 0 1
0 1 0 1 0 1
0 0 1 1 0 1
0 0 0 2 0 1
0 1 0 0 1 1
0 0 1 0 1 1
0 0 0 1 1 1
0 0 0 0 2 1
0 1 0 0 0 2
0 0 1 0 0 2
0 0 0 1 0 2
0 0 0 0 1 2
0 0 0 0 0 3
