4.03469 0 0 0 0
12.5464 1 0 0 0
-14.3242 0 1 0 0
-1.39774 0 0 1 0
-3.01017 0 0 0 1
49.7748 2 0 0 0
-125.399 1 1 0 0
75.6313 0 2 0 0
-6.19285 1 0 1 0
7.81405 0 1 1 0
1.00319 0 0 2 0
-5.31195 1 0 0 1
4.40573 0 1 0 1
1.16894 0 0 1 1
1.11436 0 0 0 2
-5.6501 3 0 0 0
21.0855 2 1 0 0
-26.7605 1 2 0 0
11.3879 0 3 0 0
-15.4347 2 0 1 0
39.2171 1 1 1 0
-24.9452 0 2 1 0
-0.387708 1 0 2 0
0.446871 0 1 2 0
-0.368743 0 0 3 0
-25.4907 2 0 0 1
64.4138 1 1 0 1
-38.7256 0 2 0 1
-0.32038 1 0 1 1
1.3668 0 1 1 1
-0.257609 0 0 2 1
-0.206232 1 0 0 2
0.83442 0 1 0 2
-0.358401 0 0 1 2
-0.296201 0 0 0 3
-0.0114835 4 0 0 0
0.0154309 3 1 0 0
0.0239497 2 2 0 0
0.0103849 1 3 0 0
-0.0320034 0 4 0 0
-0.0314441 3 0 1 0
-0.00963483 2 1 1 0
-0.0013501 1 2 1 0
-0.0147243 0 3 1 0
0.0238921 2 0 2 0
0.0140727 1 1 2 0
0.0533167 0 2 2 0
0.00975047 1 0 3 0
-0.00163394 0 1 3 0
0.00452237 0 0 4 0
-0.00482786 3 0 0 1
0.00720442 2 1 0 1
0.00934141 1 2 0 1
-0.00110681 0 3 0 1
-0.00302517 2 0 1 1
-0.00192531 1 1 1 1
-0.00983755 0 2 1 1
-0.0098412 1 0 2 1
0.00199071 0 1 2 1
0.0205002 0 0 3 1
-0.00382796 2 0 0 2
0.00119512 1 1 0 2
0.000640176 0 2 0 2
-0.00241039 1 0 1 2
-0.00796981 0 1 1 2
-0.00182515 0 0 2 2
-0.00103955 1 0 0 3
-2.32103e-05 0 1 0 3
-0.000972273 0 0 1 3
0.000443078 0 0 0 4
