-6.62196 0 0 0 0
-12.4595 1 0 0 0
18.9822 0 1 0 0
0.951234 0 0 1 0
6.72445 0 0 0 1
-38.1548 2 0 0 0
97.1093 1 1 0 0
-58.5586 0 2 0 0
4.80703 1 0 1 0
-9.16015 0 1 1 0
-0.579974 0 0 2 0
6.70942 1 0 0 1
-10.5527 0 1 0 1
-0.557062 0 0 1 1
-2.04561 0 0 0 2
2.0004 3 0 0 0
-5.97439 2 1 0 0
5.9634 1 2 0 0
-1.89325 0 3 0 0
7.96397 2 0 1 0
-19.4565 1 1 1 0
12.2494 0 2 1 0
-0.565643 1 0 2 0
0.744538 0 1 2 0
0.447413 0 0 3 0
19.0911 2 0 0 1
-48.7728 1 1 0 1
29.1427 0 2 0 1
4.30192e-12 1 0 1 1
0.712855 0 1 1 1
-2.04643e-12 0 0 2 1
-0.586104 1 0 0 2
1.18907 0 1 0 2
0.0901608 0 0 1 2
0.264395 0 0 0 3
